/NM4/D X,/NM4/D Y,/NM2/D X,/NM2/D Y
1.506804750241281e-09,0.02036567676413236,1.506804750241281e-09,-0.00472528480692521
1.50720099174532e-09,0.01878369789173719,1.50720099174532e-09,-0.003052826098358392
1.507588757923382e-09,0.01717029968672163,1.507588757923382e-09,-0.001054780087030222
1.507957692417179e-09,0.01559616701752234,1.507957692417179e-09,0.0008497765136274149
1.508370475188476e-09,0.0138126274013399,1.508370475188476e-09,0.003171949274473299
1.508869340652131e-09,0.01166370866698775,1.508869340652131e-09,0.006184131003970854
1.50937129184599e-09,0.009537689397878505,1.50937129184599e-09,0.00944124272938859
1.509835533783392e-09,0.007617318308932352,1.509835533783392e-09,0.01255594714597815
1.510346367540425e-09,0.005592486945955898,1.510346367540425e-09,0.01599696004356215
1.510947637408639e-09,0.003345982290983539,1.510947637408639e-09,0.02000218632513557
1.511594025297057e-09,0.001117598223457366,1.511594025297057e-09,0.02418747467860827
1.512350802876762e-09,-0.001209329635119407,1.512350802876762e-09,0.02885201232706248
1.513169705418806e-09,-0.003395797579690607,1.513169705418806e-09,0.03361631018110378
1.513981786902905e-09,-0.005237627800393503,1.513981786902905e-09,0.03806661125256949
1.514803315037358e-09,-0.006789293191530309,1.514803315037358e-09,0.04229639615675039
1.515551183226405e-09,-0.007904488731823717,1.515551183226405e-09,0.0458250005054442
1.516215505019743e-09,-0.008633292007048503,1.516215505019743e-09,0.04860724498376099
1.516790504370721e-09,-0.009046515450763027,1.516790504370721e-09,0.05074062897063795
1.517252689800721e-09,-0.009230324856871223,1.517252689800721e-09,0.05233215392426576
1.517674158641481e-09,-0.009281884790380644,1.517674158641481e-09,0.05371578457817575
1.518188449831353e-09,-0.009238615073390905,1.518188449831353e-09,0.05525743832317387
1.518769126473023e-09,-0.009099376539711095,1.518769126473023e-09,0.05674262280828288
1.519299587298669e-09,-0.008910542110588594,1.519299587298669e-09,0.05776779826213925
1.519794844995668e-09,-0.008701931609778441,1.519794844995668e-09,0.05837770713146292
1.520299822194494e-09,-0.008448357108081351,1.520299822194494e-09,0.05862840427206824
1.520829004900166e-09,-0.008088394292694895,1.520829004900166e-09,0.05852546273591954
1.521344627077004e-09,-0.007601627948747345,1.521344627077004e-09,0.05852479287204014
1.521848011289735e-09,-0.006893251524272739,1.521848011289735e-09,0.05908224295017496
1.522265325182757e-09,-0.006040372098097491,1.522265325182757e-09,0.05928601218421699
1.522749251626149e-09,-0.004707470527384929,1.522749251626149e-09,0.05873658890694748
1.523218505650658e-09,-0.003116559210039423,1.523218505650658e-09,0.05777826101522571
1.523640083431094e-09,-0.001705011368416531,1.523640083431094e-09,0.05674808327010175
1.524081483426998e-09,-0.0006273561359225743,1.524081483426998e-09,0.05549997582782945
1.524434581292062e-09,0.000195017135841611,1.524434581292062e-09,0.05430837053508666
1.524855612740205e-09,0.001514806994239058,1.524855612740205e-09,0.05259819232995367
1.525274263869274e-09,0.003026841997492312,1.525274263869274e-09,0.05056844550301278
1.525641525939693e-09,0.004398160765323631,1.525641525939693e-09,0.04853673314224784
1.525994170144206e-09,0.005741425096734228,1.525994170144206e-09,0.04639433161917418
1.526384607258163e-09,0.007297962230283722,1.526384607258163e-09,0.04382691248451226
1.526957969713204e-09,0.009762213634621571,1.526957969713204e-09,0.0397451878042461
1.527420794227556e-09,0.01192391751186943,1.527420794227556e-09,0.03620098782574316
1.527837803998673e-09,0.01394499953795316,1.527837803998673e-09,0.03285040793950268
1.528312214114022e-09,0.01626705572957039,1.528312214114022e-09,0.0288924892612786
1.528858509450742e-09,0.01892688712295471,1.528858509450742e-09,0.02418286181298956
1.52946942615834e-09,0.02179600425706466,1.52946942615834e-09,0.01881047858024674
1.530144974887806e-09,0.02471846199076994,1.530144974887806e-09,0.0128644341250663
1.530886506096835e-09,0.02759766016557752,1.530886506096835e-09,0.006474452501385224
1.531641332441475e-09,0.03015403425149543,1.531641332441475e-09,0.0003111601541783099
1.532304594123588e-09,0.03213522414006677,1.532304594123588e-09,-0.004740577829090379
